Compound,PC1,PC2,CompoundNumber
actuosus,-9.178228839754144,-2.123022067553343,1
yatensis,7.002975929222206,-1.349473383192513,2
YPW6,-3.877095509691717,0.2989207071722917,3
AgN23,11.362502030366961,0.4783797456698955,4
albidoflavus,-5.310153610143308,2.69519499790367,5
